gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000002064	182.7825	0.002756782	0.07184576	0.919726	1
ENSMUSG00000002068	38.83327	-0.01001358	0.07709826	0.4997546	1
ENSMUSG00000002076	1.151657	0.00220711	0.07976624	0.4380272	1
ENSMUSG00000002083	26.616	-0.006126253	0.07648593	0.7155913	1
ENSMUSG00000002100	1.842336	-0.0002663394	0.07853508	0.9642626	1
ENSMUSG00000002102	567.7977	-0.005104493	0.0735107	0.8346465	1
ENSMUSG00000002103	531.1703	-0.01078518	0.0614915	0.7672291	1
ENSMUSG00000002104	4.693129	-0.0009233273	0.07842953	0.892257	1
ENSMUSG00000002105	92.39456	-0.009185218	0.07402344	0.6962413	1
ENSMUSG00000002107	3722.181	0.06929109	0.0824858	0.001917142	0.5643263
ENSMUSG00000002108	14.18511	-0.01710923	0.07740227	0.242061	1
ENSMUSG00000002109	78.58151	0.004345697	0.07508525	0.8352506	1
ENSMUSG00000002111	12.78119	0.004184326	0.07759557	0.7312387	1
ENSMUSG00000002129	395.0378	-0.04013559	0.07101812	0.1898242	1
ENSMUSG00000002147	45.43992	-0.006595437	0.07605497	0.7176799	1
ENSMUSG00000002190	47.90832	0.0267759	0.07670225	0.1510466	1
ENSMUSG00000002204	0.2325157	-0.0001837149	0.08229332	0.9064314	1
ENSMUSG00000002205	99.44983	0.02274014	0.07264187	0.3980093	1
ENSMUSG00000002210	136.1752	0.007569941	0.07125955	0.7891969	1
ENSMUSG00000002221	274.8789	0.02811855	0.0700645	0.3610891	1
ENSMUSG00000002222	1368.239	0.03266256	0.07007603	0.2932891	1
ENSMUSG00000002227	58.20882	0.004004703	0.07626838	0.8186062	1
ENSMUSG00000002228	1.849605	-0.005349565	0.07884815	0.3086899	1
ENSMUSG00000002233	35.0393	-0.03030554	0.07802899	0.053136	1
ENSMUSG00000002249	9.000404	-0.01383273	0.078159	0.1972315	1
